id,text,sentence,pet,label,category,euph_status
10,"A este segundo grupo lo llamo el de los objetivos truncados. Llegamos a España un número considerable, con beca la gran mayoría, con unas ganas tremendas de estudiar y volver a Guinea. Al poco de estar aquí la situación de Guinea cambió considerablemente, algunas perdieron las becas, otras vieron cómo el dinero que les llegaba mensualmente desde el país, enviado por sus padres, dejó de llegar por varias razones, entre otras muchas por la detención por opositor del cabeza de familia, o por [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de los bienes familiares. "," Al poco de estar aquí la situación de Guinea cambió considerablemente, algunas perdieron las becas, otras vieron cómo el dinero que les llegaba mensualmente desde el país, enviado por sus padres, dejó de llegar por varias razones, entre otras muchas por la detención por opositor del cabeza de familia, o por [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de los bienes familiares",Apropiación indebida,1,Employment/Finances,always_euph
11,La reunión celebrada en Brasil ha sido un paso más para regular la [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de los recursos biológicos,La reunión celebrada en Brasil ha sido un paso más para regular la [PET_BOUNDARY]Apropiación indebida[PET_BOUNDARY] de los recursos biológicos,Apropiación indebida,1,Politics,always_euph
12,"Lo ha visto en Bosnia, donde la [PET_BOUNDARY]limpieza étnica[PET_BOUNDARY] dejó un rastro de cadáveres que avergonzó a occidente. Y pudo verlo antes en Ruanda, donde una tribu enloquecida trató de exterminar a machetazos a los integrantes de otra etnia a los que poco antes consideraba compatriotas. Y ese mismo hedor agobiante lo sacudió, ya con menos sorpresa, en cierto remoto paraje de Haití, donde una dictadura salvaje apenas se tomó el trabajo de cubrir el rastro de sus crímenes.","Lo ha visto en Bosnia, donde la [PET_BOUNDARY]limpieza étnica[PET_BOUNDARY] dejó un rastro de cadáveres que avergonzó a occidente",Limpieza Etnica,1,Politics,always_euph
13,"El secretario general de la ONU tiene previsto reunirse hoy con el presidente sudanés, Omar Hasan al-Bachir, antes de partir rumbo a la región occidental de Darfur, donde desde hace más de un año se perpetra una escondida [PET_BOUNDARY]limpieza étnica[PET_BOUNDARY].","El secretario general de la ONU tiene previsto reunirse hoy con el presidente sudanés, Omar Hasan al-Bachir, antes de partir rumbo a la región occidental de Darfur, donde desde hace más de un año se perpetra una escondida [PET_BOUNDARY]limpieza étnica[PET_BOUNDARY]",Limpieza Etnica,1,Politics,always_euph
14,"Newey explicó que se aplica una regla muy particular para saber si sus ideas pueden funcionar. [PET_BOUNDARY]Tengo la regla[PET_BOUNDARY] de las 24 horas: ¿todavía parece una buena idea después de 24 horas? Al final, desarrollas una sensibilidad especial para ese procedimiento. El cerebro es una cosa increíble: puede estar haciendo algo completamente diferente, como tomar una taza de té, y de repente descubres si tu idea es buena o mala, detalló.",[PET_BOUNDARY]Tengo la regla[PET_BOUNDARY] de las 24 horas: ¿todavía parece una buena idea después de 24 horas,Tengo la regla,0,Physical/Mental Attributes,sometimes_euph
15,"¡¿Me lo vas a decir, sí o no?! -exclamó ella levantando bruscamente el tono de voz-. Perdona, es que [PET_BOUNDARY]Tengo la regla[PET_BOUNDARY] y estoy algo irritable."," Perdona, es que [PET_BOUNDARY]Tengo la regla[PET_BOUNDARY] y estoy algo irritable",Tengo la regla,1,Bodily Functions/Parts,sometimes_euph
16,"Es que [PET_BOUNDARY]Tengo la regla[PET_BOUNDARY] —mentí de nuevo, encogiéndome de hombros—. Un grifo de regla. Suelto tanta sangre que dejaría un camino tan largo como el de las baldosas camarillas en El mago de Oz.","Es que [PET_BOUNDARY]Tengo la regla[PET_BOUNDARY] —mentí de nuevo, encogiéndome de hombros—",Tengo la regla,1,Bodily Functions/Parts,sometimes_euph
17,"Cuando Gregory Orlov dejó de ser útil a sus propósitos Catalina rápidamente lo reemplazó por otro y así sucesivamente, gratificando significativamente a todos y cada uno de sus amantes. Tía Iscaria ya no quiso entrar en mas detalles de los nombres y señas de sus antiguos amantes, sólo me dijo que, durante una noche de tormenta, el cofre y sus hechizos desaparecieron, dejando a una envejecida y atormentada Catalina, totalmente sola, sin amantes, vulnerable, desarmada y atormentada por sus remordimientos. Para liberarla en una parte de sus malas acciones, Algún hechicero le sugirió deshacer su pacto con el diablo canjeándole su vida para liberar su alma, Catalina puso en práctica el último de sus desaparecidos hechizos, con la esperanza de [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY] puesto que la que llevaba dejaba mucho que desear y ya era más que suficiente."," Para liberarla en una parte de sus malas acciones, Algún hechicero le sugirió deshacer su pacto con el diablo canjeándole su vida para liberar su alma, Catalina puso en práctica el último de sus desaparecidos hechizos, con la esperanza de [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY] puesto que la que llevaba dejaba mucho que desear y ya era más que suficiente",Pasar a mejor vida,0,Employment/Finances,sometimes_euph
18,"Habitualmente silencioso, lo único que lo sacaba de su mutismo casi total era hablar acerca de cada vaca individual y de su doloroso padecimiento. Para eso su memoria era más que fotográfica. Recordaba las miles de vacas a las que había ayudado a [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY]. A todas les había puesto nombre y apellido. En su mente guardaba un álbum de fotos de todas. Un archivo completo y detallado de cada una, de sus peculiaridades físicas y de su conducta en los últimos minutos de su vida. Podía hablar por horas, por días, acerca de la ejecución.",Recordaba las miles de vacas a las que había ayudado a [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY],Pasar a mejor vida,1,Death,sometimes_euph
19,"Luego de 20 años, las famosas ""cookies"" podrían [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY], de acuerdo con la intención de gigantes de internet como Google, Apple y Microsoft, que presionados por defensores de la privacidad, buscan alternativas al clásico método para conocer los hábitos de navegación de los usuarios de internet.","Luego de 20 años, las famosas ""cookies"" podrían [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY], de acuerdo con la intención de gigantes de internet como Google, Apple y Microsoft, que presionados por defensores de la privacidad, buscan alternativas al clásico método para conocer los hábitos de navegación de los usuarios de internet",Pasar a mejor vida,1,Death,sometimes_euph
20,"Eran ocho guardaespaldas chinos igualmente trajeados, más media docena de cargadores, los tres curitas y el piloto de la avioneta. De los ocho guardaespaldas, pronto sólo hubo cinco en pie. Pero la cuarta víctima no aceptó [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY] sin forcejear y su resistencia alertó al resto de los chinos. La balacera empezó por todos lados. Eustacio y yo nos cubrimos detrás del muelle, mientras esperábamos la llegada de refuerzos. Éstos se hicieron cargo de la situación en diez minutos, pero los curitas y Ho Fong lograron huir en la avioneta. Y lo peor, las tres embarcaciones alcanzaron a escapar con rumbo al sur.",Pero la cuarta víctima no aceptó [PET_BOUNDARY]Pasar a mejor vida[PET_BOUNDARY] sin forcejear y su resistencia alertó al resto de los chinos,Pasar a mejor vida,1,Death,sometimes_euph
21,"El científico francés Bruno Le Bizec, de la Escuela Nacional de Veterinaria de Nantes, francés desarrolló una nueva prueba para detectar si los deportistas usan la [PET_BOUNDARY]Sustancia prohibida[PET_BOUNDARY] nandrolona, informó la revista inglesa New Scientist. El ensayo puede distinguir entra la nandrolona producida por el cuerpo humano y la artificial tomada para aumentar la masa muscular. Ejemplo de este caso es el atleta británico Linford Christie, campeón olímpico de velocidad, quien dio positivo con nandrolona, pero dijo que nunca había tomado esa sustancia.","El científico francés Bruno Le Bizec, de la Escuela Nacional de Veterinaria de Nantes, francés desarrolló una nueva prueba para detectar si los deportistas usan la [PET_BOUNDARY]Sustancia prohibida[PET_BOUNDARY] nandrolona, informó la revista inglesa New Scientist",Sustancia prohibida,1,Substances,always_euph
22,"El jugador de Independiente Santa Fe Juan Carlos Toja, dio positivo en el control antidopaje que realizó la Dimayor, tras el clásico capitalino del pasado 20 de julio. Según se conoció, la [PET_BOUNDARY]Sustancia prohibida[PET_BOUNDARY] fue marihuana. Dicha droga no incrementa el rendimiento deportivo y es de uso social. El jugador ya fue notificado de la decisión y asumirá la sanción que le imponga la Dimayor. ""Sé que cometí una falta y asumo la culpa y la responsabilidad. Soy un profesional y voy a demostrar que puedo salir adelante"", declaró Toja tras el entrenamiento del elenco cardenal. Por su parte, el médico cardenal Javier Fernández, manifestó que el club capitalino respalda y apoya al jugador. ""En el club no le vamos a dar mayor trascendencia a este hecho. Vamos a apoyar al jugador y a colaborarle para que supere esta crisis""."," Según se conoció, la [PET_BOUNDARY]Sustancia prohibida[PET_BOUNDARY] fue marihuana",Sustancia prohibida,1,Substances,always_euph
23,"El congresista Johnny Peralta Cruz, secretario de la Comisión de Defensa del Consumidor del Congreso, autor de uno de los recursos de reconsideración, dijo que a todas luces es claro que las tarifas de electricidad subieron 8% para el sector doméstico y 22% para el industrial, más de lo que dijo Osinerg. Agregó que los funcionarios de Osinerg sabían que con el incremento del precio del petróleo (mayor al 5%) se iba a realizar una [PET_BOUNDARY]Actualización de precios[PET_BOUNDARY], causa del mayor alza."," Agregó que los funcionarios de Osinerg sabían que con el incremento del precio del petróleo (mayor al 5%) se iba a realizar una [PET_BOUNDARY]Actualización de precios[PET_BOUNDARY], causa del mayor alza",Actualización de precios,1,Employment/Finances,sometimes_euph
24,"Asimismo, el artículo 8 determina que está prohibido utilizar ""algún mecanismo de [PET_BOUNDARY]Actualización de precios[PET_BOUNDARY] distinto a los fijados en el contrato de venta programada de bienes muebles, según el plan de conformidad con las regulaciones y listados de precios fijados por el órgano regulador o contralor competente para tal fin"".","Asimismo, el artículo 8 determina que está prohibido utilizar ""algún mecanismo de [PET_BOUNDARY]Actualización de precios[PET_BOUNDARY] distinto a los fijados en el contrato de venta programada de bienes muebles, según el plan de conformidad con las regulaciones y listados de precios fijados por el órgano regulador o contralor competente para tal fin""",Actualización de precios,0,Employment/Finances,sometimes_euph
25,"Otro hombre que aparece es el Jote, marido de la señora Inés. Éste suele emborracharse y en una de sus borracheras rompió el vestido de Marisela, causando así, otro conflicto más. Si bien es padre, no hay alusiones a este rol. Él, sin embargo, sufre por su condición, no ha tenido buenas experiencias en sus trabajos y se siente [PET_BOUNDARY]Disminuido[PET_BOUNDARY] como individuo -sin relacionar esto con su deber en la familia-, él se vino del campo a la capital y se lamenta de haber tomado esa decisión:"," Él, sin embargo, sufre por su condición, no ha tenido buenas experiencias en sus trabajos y se siente [PET_BOUNDARY]Disminuido[PET_BOUNDARY] como individuo -sin relacionar esto con su deber en la familia-, él se vino del campo a la capital y se lamenta de haber tomado esa decisión:",Disminuido,1,Physical/Mental Attributes,sometimes_euph
26,"Aunque en los últimos 50 años las enfermedades transmisibles, junto con las de la nutrición y de la reproducción, han [PET_BOUNDARY]Disminuido[PET_BOUNDARY] del 49.8% en 1950 al 14.0% en 2000, no tienen un significado epidemiológico similar. En el caso de las ETV presentan desde simples incrementos de incidencia, hasta enfermedades nuevas, considerándose que tienden a incrementar su trascendencia por su mortalidad (dengue hemorrágico y encefalitis) y por sus secuelas (Chagas o los tifos).","Aunque en los últimos 50 años las enfermedades transmisibles, junto con las de la nutrición y de la reproducción, han [PET_BOUNDARY]Disminuido[PET_BOUNDARY] del 49",Disminuido,0,Employment/Finances,sometimes_euph
27,"Solo Alemania y Gran Bretaña han [PET_BOUNDARY]Disminuido[PET_BOUNDARY] sus emisiones, el primero en 15 % y el segundo en 12 % en relación con 1990. Algunos países esperan cumplir sus compromisos agroforestales y la protección de bosques amenazados, pero la realidad es que de continuar las emisiones al ritmo que llevan en la actualidad, no se cumplirá el compromiso de reducción, sino que se incrementara entre 18 y 20 %, con respecto al 1990.","Solo Alemania y Gran Bretaña han [PET_BOUNDARY]Disminuido[PET_BOUNDARY] sus emisiones, el primero en 15 % y el segundo en 12 % en relación con 1990",Disminuido,0,Politics,sometimes_euph
28,"Quien por razones de guarda legal tenga a su cuidado directo algún menor de 6 años, anciano que requiera especial dedicación, o a un [PET_BOUNDARY]Disminuido[PET_BOUNDARY] físico, psíquico o sensorial que no desempeñe actividades retribuidas, tendrá derecho a una disminución de la jornada de trabajo de hasta un medio, con la reducción proporcional de sus retribuciones. Según el Real Decreto 2670/1998, de 11 de diciembre, cuando lo permita la organización del trabajo de la unidad, se concederá al funcionario la parte de la jornada que convenga a sus intereses personales.","Quien por razones de guarda legal tenga a su cuidado directo algún menor de 6 años, anciano que requiera especial dedicación, o a un [PET_BOUNDARY]Disminuido[PET_BOUNDARY] físico, psíquico o sensorial que no desempeñe actividades retribuidas, tendrá derecho a una disminución de la jornada de trabajo de hasta un medio, con la reducción proporcional de sus retribuciones",Disminuido,1,Politics,sometimes_euph
29,"Para que esta ayuda sea eficaz, la [PET_BOUNDARY]Persona disminuida[PET_BOUNDARY] debe colocarse delante de la persona encargada de su higiene y dando la espalda a ésta, sentado en una silla y con la cabeza hacia atrás.","Para que esta ayuda sea eficaz, la [PET_BOUNDARY]Persona disminuida[PET_BOUNDARY] debe colocarse delante de la persona encargada de su higiene y dando la espalda a ésta, sentado en una silla y con la cabeza hacia atrás",Persona disminuida,1,Physical/Mental Attributes,always_euph
30,"Los rescatistas del Cuerpo de Bomberos de San Miguel de la provincia de Bolívar y de la Policía Nacional lograron rescatar a una [PET_BOUNDARY]Persona de la tercera edad[PET_BOUNDARY] hoy, lunes 11 de enero del 2016.","Los rescatistas del Cuerpo de Bomberos de San Miguel de la provincia de Bolívar y de la Policía Nacional lograron rescatar a una [PET_BOUNDARY]Persona de la tercera edad[PET_BOUNDARY] hoy, lunes 11 de enero del 2016",Persona de la tercera edad,1,Physical/Mental Attributes,always_euph
31,"Me comuniqué con la lectora Candela Pacheco, quien a través de Clarín, en esta misma página dominical, pidió una guitarra para Osvaldo Centenaro, una [PET_BOUNDARY]Persona de la tercera edad[PET_BOUNDARY] que vivía en un hogar de ancianos. Yo hice mi ofrecimiento y ella me dijo que había seleccionado mi e-mail, porque yo ya tenía una guitarra. Con mucha alegría preparé la guitarra que había utilizado en mis tiempos que estudiaba el instrumento. Le arreglé la funda, que no estaba demasiado linda, le puse un moño y hasta le escribí unas palabras para don Osvaldo.","Me comuniqué con la lectora Candela Pacheco, quien a través de Clarín, en esta misma página dominical, pidió una guitarra para Osvaldo Centenaro, una [PET_BOUNDARY]Persona de la tercera edad[PET_BOUNDARY] que vivía en un hogar de ancianos",Persona de la tercera edad,1,Physical/Mental Attributes,always_euph
32,"""No he hecho nada de lo que esta persona alega... Yo tenía un andamiaje para [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] el perro... Que tiramos perros vivos, eso es totalmente falso"", respondió Díaz finalmente, luego de que AP intentara contactarlo varias veces durante el curso de la investigación.",Yo tenía un andamiaje para [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] el perro,Poner a dormir,1,Death,sometimes_euph
33,"Cuando lo abracé no pudo más y se echó a llorar como un carajito. Nos rogó que lo perdonáramos, que todo había sido culpa suya, que había escrito una carta quejándose de que lo querían [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] en una cama de piedra y obligarlo a comer carne de burro, pero que nos juraba que él no sabía que iban a meter presa a la madre por eso y a cerrar el asilo."," Nos rogó que lo perdonáramos, que todo había sido culpa suya, que había escrito una carta quejándose de que lo querían [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] en una cama de piedra y obligarlo a comer carne de burro, pero que nos juraba que él no sabía que iban a meter presa a la madre por eso y a cerrar el asilo",Poner a dormir,0,Politics,sometimes_euph
34,"Odiaba con furor a los negros. Cuando creció, ladraba tanto que le cortaron las cuerdas vocales. Después de eso le destrozó la mano a un jardinero -recuerdo su overol azul cobalto bañado en sangre, la mano despedazada que sostenía con la otra mientras se la lavábamos con el chorro de la manguera. Hubo que [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] a Clara. Mi padre me dijo que lo viera como nuestra contribución personal a la Sudáfrica del postapartheid.",Hubo que [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] a Clara,Poner a dormir,1,Death,sometimes_euph
35,"[PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] a un bebé mayor de un año no es tarea fácil, ya que suele oponer una gran resistencia: algunos se paran en la cuna sacudiendo los barrotes, otros vomitan y otros gritan de una manera que puede provocar las quejas de los vecinos. ¡Estarás en medio de una batalla!","[PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] a un bebé mayor de un año no es tarea fácil, ya que suele oponer una gran resistencia: algunos se paran en la cuna sacudiendo los barrotes, otros vomitan y otros gritan de una manera que puede provocar las quejas de los vecinos",Poner a dormir,0,Politics,sometimes_euph
36,"Lo cierto es que, como te digo, estuvo muy nerviosa durante varios días, hasta la tarde en que se perdió de la cabeza. De un día para el otro se olvidó de todo lo hecho y hablado y ya no supo más quién era ella, ni tampoco quién era yo, y empezó a preguntar dónde íbamos a [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] a toda esa gente y qué hacían en la casa todas esas personas sin cabeza. Así decía, ¿podés creer?, parece que veía a los pensionistas sin cabeza y sin nada, porque a los que veía cuando decía estas cosas era a la gente de esta casa, gente que hace años de años que vive con nosotros."," De un día para el otro se olvidó de todo lo hecho y hablado y ya no supo más quién era ella, ni tampoco quién era yo, y empezó a preguntar dónde íbamos a [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] a toda esa gente y qué hacían en la casa todas esas personas sin cabeza",Poner a dormir,1,Death,sometimes_euph
37,"A juzgar por su dolor de la cabeza y la sequedad de su boca cuando se despierta en el refugio de montaña, el sedante que le dieron a Barbosa en el coche lo ha debido de [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] durante un día entero. Barbosa se frota los ojos y se incorpora hasta sentarse en el colchón. El fuego del refugio está encendido. Barbosa examina el interior de la cabaña y por fin se encuentra con los ojos del tipo bajito y gordo que está en el otro colchón, acostado de lado y mirándolo a él. Vestido con varios jerseys de lana y coronado con un inverosímil afro de aspecto pùbico.","A juzgar por su dolor de la cabeza y la sequedad de su boca cuando se despierta en el refugio de montaña, el sedante que le dieron a Barbosa en el coche lo ha debido de [PET_BOUNDARY]Poner a dormir[PET_BOUNDARY] durante un día entero",Poner a dormir,0,Substances,sometimes_euph
38,"-¿Mis celos? -sonrió, amenazador-. Veamos qué te dicen estos datos -y sacó un papel-: Lucas Modím de Bastos. 35 años. Soltero. Domiciliado en Cardenal Fatigatti 89, 2º piso, apartamento heredado de un tío. Hasta el año pasado vivía en un pueblo del interior del país. Trabajó como electricista, taxista y ayudante de cocina. Actualmente [PET_BOUNDARY]Desocupado[PET_BOUNDARY].",Actualmente [PET_BOUNDARY]Desocupado[PET_BOUNDARY],Desocupado,1,Employment/Finances,sometimes_euph
39,"Esa misma noche, venciendo el cansancio del viaje, me dejé llevar por Maryse al teatro, que no era gran cosa y estaba poco iluminado. En todo caso, a las seis y media, hora en que comenzaba el espectáculo, no había un asiento [PET_BOUNDARY]Desocupado[PET_BOUNDARY] a pesar de ser aquélla su tercera función. La salida de Maryse al escenario fue saludada con un largo aplauso. Ajustada a su cabeza llevaba una máscara veneciana que semejaba la cara de un gato, su cuerpo envuelto en un provocativo manto de seda blanca que acentuaba las sinuosidades de sus movimientos. "," En todo caso, a las seis y media, hora en que comenzaba el espectáculo, no había un asiento [PET_BOUNDARY]Desocupado[PET_BOUNDARY] a pesar de ser aquélla su tercera función",Desocupado,0,Politics,sometimes_euph
40,"¿Será finalmente la rubia chilena la que consiga llevar al registro civil al [PET_BOUNDARY]Desocupado[PET_BOUNDARY] más rico de la Argentina? ¿Se trata de un show para lograr protagonismo? ¿Es un circo armado para dar la pelea en las elecciones del 2003? ¿Hay verdadero amor entre ellos? ¿O sólo es una simple y explosiva combinación de poder, fama, exhibicionismo y dinero lo que los mantiene juntos y acaramelados, sobredimensionando gestos y sentimientos? En todo caso, el negocio es redituable para ambos, a corto y a largo plazo.",¿Será finalmente la rubia chilena la que consiga llevar al registro civil al [PET_BOUNDARY]Desocupado[PET_BOUNDARY] más rico de la Argentina,Desocupado,1,Employment/Finances,sometimes_euph
