,ID,TEXT,PET,LABEL,EUPH_STATUS
1359,1359,"Bi Tinubu ba fẹẹ du ipo aarẹ, ẹ jẹ ko jade, ko kọkọ sọ bẹẹ, eyi lawọn araalu yoo fi mọ eyi ti wọn yoo ṣe. Gbogbo eyi ti ẹ n ba kiri [PET_BOUNDARY]iranu[PET_BOUNDARY] iranu ni o; ẹ jẹ ki Tinubu jade ko fẹnu ara ẹ sọrọ.",iranu,0,sometimes_euph
501,501,"Eyi si fi idaniloju han pe [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] Omo Arayele ko ni rahun owo lati na mọ, ti yoo si maa ri owo se itọju ara rẹ ati lati jẹun oojọ.",iyá ìbèjì,0,sometimes_euph
1354,1354,"Kẹmi Filani kọ ọ pe, ‘‘Opurọ pasitọ, irọ pọ, o ti pọ rẹpẹtẹ, opurọ olufẹ. Gbogbo ẹyin tẹ ẹ n ṣi abẹ yin fun un, tẹ ẹ n jẹ ko maa ka itan yin soke, ẹ wo bi wọn ṣe lawọn o mọ ‘kinni’ yin ri nigboro, ti wọn lawọn o mọ yin ri. O ma ṣe fidio rẹ yẹn daadaa [PET_BOUNDARY]iranu[PET_BOUNDARY] aa sinmi iranu yẹn, SINMI Ẹ”",iranu,1,sometimes_euph
1861,1861,"[PET_BOUNDARY]Baba Olode[PET_BOUNDARY] ma wa laaro yi o, won wa gba owo asode",Olóde/ Bàbá òde,0,sometimes_euph
1657,1657,"Ninu alaye ti agbefọba ṣe lati fidi ẹsun rẹ mulẹ, Inpẹkitọ Felicia Okwori ni kamẹra to n ṣofofo awọn [PET_BOUNDARY]al[PET_BOUNDARY] afowora[PET_BOUNDARY] [PET_BOUNDARY] a bii ti Godwin yii wa ninu ileetaja ọhun, amọ ibi kọlọfin kan tawọn eeyan o le tete fura si ni wọn fi i si, kamẹra ọhun lo si jẹ ki wọn mọ pe ẹni yii lo ji Bibeli ti wọn ti n wa ọhun, wọn lo kọkọ ji Bibeli meji ti owo rẹ jẹ ẹgbẹrun mọkanlelaaadọta ati ọgọrin Naira lọjọ kẹrin oṣu kejila ọdun to kọja.",alafowora,1,always_euph
1735,1735,Awon oponu [PET_BOUNDARY]afofun gbemu[PET_BOUNDARY] didirin ndin robo.,afofun gbe mu,1,always_euph
168,168,Lára àwọn àgbègbè ojú ara tó léwu láti máa fi ọ̀sẹ̀ fọ n [PET_BOUNDARY]iho[PET_BOUNDARY] hò tó wà láàárín awẹ ojú ara obìnrin méjèèjì (Vagina Opening).,iho,1,sometimes_euph
2006,2006,"Ta lo fe ba mi sun, mo ma fi ere [PET_BOUNDARY]pa[PET_BOUNDARY] a e",pa,1,sometimes_euph
492,492,"Iyalọja ipinlẹ Kwara, Alaaja Adenikẹ Abdulkareem Lambẹ, ti sọ pe o ti deewọ bayii fun gbogbo awọn iya Onisango, Ọlọbatala ati aw [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] eji ki wọn maa tọrọ owo lawọn inu ọja gbogbo nipinlẹ naa.",iyá ìbèjì,0,sometimes_euph
295,295,[PET_BOUNDARY]Obìnrin[PET_BOUNDARY] tí kò ní [PET_BOUNDARY] ojú awẹ́ [PET_BOUNDARY] .,ojú awe obìnrin,1,always_euph
1336,1336,"Ìgbéyàwó mi ti [PET_BOUNDARY]sunmo[PET_BOUNDARY] ́, mò ń wá bàbá mi",sunmo,0,sometimes_euph
1113,1113,Won ka ori oku mejidinlogun mo Adelani lowo ni A [PET_BOUNDARY]do[PET_BOUNDARY] -O do,do,0,sometimes_euph
451,451,Arabinrin naa ti di [PET_BOUNDARY]alabara meji[PET_BOUNDARY],A-lá-bára-méjí,1,sometimes_euph
362,362,"Ni senturi k''arun din l''ogun {15th Century}, Ilu Eko [PET_BOUNDARY]abẹ[PET_BOUNDARY] o si abe isakoso Ijoba Bini.",abẹ,0,sometimes_euph
936,936,"Oro awon oloselu, ki eniyan fi i senu ko [PET_BOUNDARY]dakẹ́[PET_BOUNDARY] e gan-an ni.",dakẹ́,0,sometimes_euph
989,989,Ní kia la gbe ọmọbìnrin naa lọ sí ile iwosan General Oja Odan níbi awọn dokita ti fi idi rẹ mulẹ pe otitọ ni pe babalawo fi tipatipa [PET_BOUNDARY][PET_BOUNDARY] bá[PET_BOUNDARY] sùn [PET_BOUNDARY],bá sùn,1,sometimes_euph
503,503,"O ti loyun o, o ti [PET_BOUNDARY]je isu orisa[PET_BOUNDARY] a",je isu orisa,1,always_euph
99,99,NNPCL yóò bẹ̀rẹ̀ wíw [PET_BOUNDARY]epo[PET_BOUNDARY] po rọ̀bì ní Nasarawa,epo,0,sometimes_euph
282,282,Isẹlẹ ara ọtọ yii lo n fidi rẹ mulẹ pe awoͅn [PET_BOUNDARY]eniyan[PET_BOUNDARY] ti n ra [PET_BOUNDARY] ile oͅͅmoͅ [PET_BOUNDARY] bi eͅni ti n ra oͅkoͅ ayoͅkeͅleͅ ni orileͅede Columbia.,ilé ọmọ obìnrin,1,always_euph
914,914,A kì í [PET_BOUNDARY]dakẹ́[PET_BOUNDARY] ́ ká ṣìwí.,dakẹ́,0,sometimes_euph
2206,2206,EJOWO GBOGBO ILE KIN [PET_BOUNDARY]Ibasepo[PET_BOUNDARY] TOWA LARIN OKO ATI OBO ELAYEMI GBOGBO ILE,Ibasepo,1,sometimes_euph
556,556,Baba ti je Olorun nipe. Won ti [PET_BOUNDARY]di erupe[PET_BOUNDARY],dé rùpẹ́,1,sometimes_euph
2235,2235,"Eda maa n je ki oju ara obinrin run(smell) tori wipe ti okunrin ba ti ba ni [PET_BOUNDARY]Ajosepo[PET_BOUNDARY] o tan ni gbogbo ato okunrin maa wale pade, ko si ni wale tan leekan naa, ato okunrin to ba wa ku lara obinrin yen yi o maa wale die die nigbati obinrin yen ko fi okan si, ohun lo maa n fa ki oju ara obinrin maa run ni opolopo igba",Ajosepo,1,sometimes_euph
970,970,"Ko si eyi ti o so pe ojise mimo ni omobirin mejila tabi omokunrin mokanla, Baba Anabi ku saaju ki ato bi Anabi, iya re s [PET_BOUNDARY]jáde láyé[PET_BOUNDARY] ye pelu nigba ti Anabi di omodun mefa (6).",jáde láyé,1,always_euph
2112,2112,Iwadii fihan pe iṣẹlẹ naa waye lọjọ Aje ni ile [PET_BOUNDARY]Itura[PET_BOUNDARY] kan to wa ni agbegbe Temidire ni bi ọkùnrin naa to ni sọọbu ti wọn ti n tun irun ọkùnrin ṣe ti tẹlẹ ọrẹbinrin rẹ lọ si ile ìtura.,Itura,0,sometimes_euph
1212,1212,"[PET_BOUNDARY]ajosepo[PET_BOUNDARY] TO WA LAARIN EMI ATAWON ARA OJA ATIJOBA EKO Ajosepo gidi lo wa laarin wa, koda okan ninu won lo gbe aso ankara ti e n wo nibe yen wa pe oun fee fi sinku iya oun, a de ni lati ba a lo.",ajosepo,0,sometimes_euph
527,527,"Gẹgẹ bo se wi, amutọrunwa yii ni bi [PET_BOUNDARY]Ojù ara[PET_BOUNDARY] a obinrin sa kan di lati ọrun, ti ko si fẹ to lati gba nnkan ọkunrin.",Ojù ara,1,sometimes_euph
786,786,"Se awon ara abule naa ji pelu igbe ti n jade lati ile Daodu ilu naa Alhaji Shuaibu Akanji Oniso, eni ti o [PET_BOUNDARY]gbe emi mi[PET_BOUNDARY] i pelu okan lara awon iyawo re Belaawu Iya Elekuru.",gbe emi mi,1,always_euph
916,916,"Looto, ti a ko ba wa laarin awon eniyan lemolemo, a ko le ko asa ibasepo to dan maran, sugbon o ye ki a wa asiko ati ibi ti [PET_BOUNDARY]dakẹ́[PET_BOUNDARY] ake kan lati da wa, ki a le ronu.",dakẹ́,0,sometimes_euph
1483,1483,[PET_BOUNDARY]Akọ aja[PET_BOUNDARY] ma ni asewo yen,Akọ aja,0,sometimes_euph
599,599,"Nitori wipe orisirisi awon eniyan lowa, to ba kan so fun elomiran wipe lagbaja ku, ole fainti, amo ni ile Yoruba, adape oro noni wipe eni [PET_BOUNDARY]Pa ipo da[PET_BOUNDARY] o da.",Pa ipo da,0,sometimes_euph
553,553,Amope o̩ lo̩kà ti [PET_BOUNDARY]fi ile̩ se aso̩ bora[PET_BOUNDARY],File se aso bora,1,always_euph
1606,1606,"Ọlọpaa ki i ṣe ọta araalu, ọrẹ araalu lo yẹ ki wọn jẹ, ṣugbọn ọpọ awọn ọlọpaa tiwa ni ko dar [PET_BOUNDARY]alonilowogba[PET_BOUNDARY] gba ni wọn o. Ṣugbọn ẹ gbọkilọ ti Sanwoolu ṣe, ẹ yiwapada, kaye ẹyin naa le daa!",alonilowogba,1,always_euph
1178,1178,"Aburo oko mi yii da pe lokunrin, odun wo, o se ri moni, awomalelo, awo tun wo pada seyin ni, bo ti le je wipe n ko le gba okunrin miran laaye lati ba m [PET_BOUNDARY]ajosepo[PET_BOUNDARY] osepo , aburo oko yii duro dede, idi re niyi ti mo fi ma n gba aburo oko mi yii laaye.",ajosepo,1,sometimes_euph
192,192,"Ọlọrun yio rán ãnu rẹ̀ ati otitọ rẹ̀ jade. 4 Ọkàn mi wà lãrin awọn kiniun: emi tilẹ dubulẹ lãrin awọn ti o gbiná, eyinì ni awọn ọmọ enia, ehín ẹniti iṣe ọ̀kọ ati ọfa, ati ahọn wọn, idà mimú. 5 Gbigbega ni ọ, Ọlọrun, jù ọrun lọ; ati ogo rẹ jù gbogbo aiye lọ. 6 Nwọn ti ta àwọn silẹ fun ẹsẹ mi: nwọn tẹ ori ọ [PET_BOUNDARY]iho[PET_BOUNDARY] mi ba: nwọn ti wà iho silẹ niwaju mi, li ãrin eyina li awọn tikarawọn jìn si. 7 Ọkàn mi ti mura, Ọlọrun, ọkàn mi ti mura: emi o kọrin, emi o si ma kọrin iyìn. 8 Jí, iwọ ogo mi; jí, ohun-èlo orin ati duru: emi tikarami yio si jí ni kutukutu. 9 Emi o ma yìn ọ, Oluwa lãrin awọn enia: emi o si ma kọrin si ọ lãrin awọn orilẹ-ède. 10 Nitoriti ãnu rẹ pọ̀ de ọrun,",iho,0,sometimes_euph
645,645,Ẹ wo ẹni tó ń jẹ́ Suwebatu nínú ẹbí Baba Suwe àti ohun tó sọ nípa [PET_BOUNDARY]olóògbé[PET_BOUNDARY] é,olóògbé,1,always_euph
2532,2532,Naira Marley fọhùn lẹ́yìn ọjọ́ kẹ́ta tí Mohb [PET_BOUNDARY]Jáde láyé[PET_BOUNDARY] áyé,Jáde láyé,1,always_euph
2108,2108,Oṣojumikoro to ba awọn akọroyin The Punch sọrọ ni ọrẹbinrin oloogbe pariwo sita lẹyin ti oloogbe na daku ninu yara ile [PET_BOUNDARY]Itura[PET_BOUNDARY] ilẹ ibalopọ.,Itura,0,sometimes_euph
1331,1331,"Ati pelu iwo ko gbodo [PET_BOUNDARY]sunmo[PET_BOUNDARY] obinrin kan lati tu u ni ihoho, ni iwon igbati a ya a sapakan nitori aimo re(19)",sunmo,1,sometimes_euph
2047,2047,"Bimpe ni oun o ri [PET_BOUNDARY]Alejo[PET_BOUNDARY] re mo, o da bi o ti loyun o",Alejo,1,sometimes_euph
1854,1854,"Ki okunrin maa do iho [PET_BOUNDARY]idi[PET_BOUNDARY] obinrin ati ki obinrin maa gba okosi iho idi, good madness please?.",idi,0,sometimes_euph
1920,1920,"Ti o ba fẹ gba [PET_BOUNDARY]itura[PET_BOUNDARY] ju ẹẹkan lọ, sinmi fun bi iṣẹju kan tabi meji ki o to pada gba ikeji.",itura,1,sometimes_euph
1391,1391,Kí Ló Yẹ Kí N Mọ̀ Nípa Fífi Ohun Tó Ń Mọ́kàn Fà s [PET_BOUNDARY]ìṣekúṣe[PET_BOUNDARY] ṣe Ránṣẹ́ Lórí Fóònù?,ìṣekúṣe,1,sometimes_euph
1617,1617,"Omolara wa so fun Olopa ki won ko gbogbo amuhunmaworan , kamera ti a fi si kolofin ile baba re jade lati wo eni se ise laabi ohun. Bee ko seni ti o mo pe Omolara fi Camera si ayika ati inu ile wonyi. O si see nitori ole, [PET_BOUNDARY]alo kolohun kigbe[PET_BOUNDARY] , alafowera nigba aseye.",alo kí olóhun ó kígbe.,1,always_euph
252,252,[PET_BOUNDARY]arákùnrin[PET_BOUNDARY] ni ohun to yẹ ko jẹ awọn ọmọ orilẹ-ede yii logun ju lọ lasiko yii ni bi wọn yoo ṣe maa pin ipo agbara iṣakoso Naijiria ni ẹlẹkunjẹkun titi ti yoo fi kari.,arákùnrin,0,sometimes_euph
47,47,Awọn ọmọ Ile iwe girama kan ni Gurajat ti n fẹsun kan pe ileewe wọn mu awọn ni dandan lati bọ ara si ihoho ki wọn si fi awọtẹlẹ wọn han awọn olukọ obinrin lati fi aridaju han pe awọn o ṣe [PET_BOUNDARY][PET_BOUNDARY]nkan oṣu[PET_BOUNDARY][PET_BOUNDARY].,nǹkan oṣù,1,always_euph
824,824,O̩ré re̩ ma [PET_BOUNDARY]téri gba aso[PET_BOUNDARY] aso,téri gba aso,1,always_euph
1889,1889,"Kagba [PET_BOUNDARY]owo koto tabi owo kobe[PET_BOUNDARY] , iyen common si gbogbo olopa ni Nigeria",owo koto tabi owo kobe,1,always_euph
487,487,"Oladimeji tẹsiwaju pe onisẹ ọwọ atọkọse Panel Beater ni oun amọ [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] ko sisẹ kankan nigba naa. O ni nigba ti awọn ibeji pe osu mẹjọ pere lọdun 2000 ni mama wọn ti n gbe awọn ọmọ naa si ibudo itọju ọmọde, ta mọ si Day Care.",iyá ìbèjì,0,sometimes_euph
97,97,"Awari [PET_BOUNDARY]epo[PET_BOUNDARY] rọbi wiwa ni ipinlẹ Nasarawa n waye lẹyin oṣu marun un ti ti ileeṣẹ epo rọbi Naijiria, NNPCL bẹrẹ si ni wa epo ni ẹkun Kolmani laarin ipinlẹ Bauchi ati Gombe.",epo,0,sometimes_euph
876,876,"Lẹyin to lo ọdun marundinlogoji lori itẹ awọn baba nla rẹ, Olukoyi ti Ikoyi, nijọba ibilẹ Iṣọkan, nipinlẹ Ọṣun, Ọba Yisau Bamitalẹ Oyetunji Ọtunla, Kodaol [PET_BOUNDARY]wàjà[PET_BOUNDARY] ti waja. Alaroye gbọ pe baba yii jade laye lẹyin aisan ranpẹ. Ọdun 1987 ni baba naa gori itẹ. Ọjọbọ, Tọsidee, ọjọ kọkanlelogun, oṣu Kẹrin, ọdun yii, ni wọn yoo feeru fun eeru ninu aafin Olukoyi. Alaga ijọba ibilẹ agbegbe Guusu Iṣọkan, Ọmọọba Wasiu Oyetunji Oyelami, ṣapejuwe kabiesi naa gẹgẹ bii ẹni ti asiko rẹ mu idagbasoke ba ilu Ikoyi.",wàjà,1,always_euph
1048,1048,Bawo la se le [PET_BOUNDARY]pa[PET_BOUNDARY] awon efon ti won kii je ka rorun sun?,pa,0,sometimes_euph
1329,1329,"Elomi to ko ba iti gba ase lowo pasito tabi alfa ko ni [PET_BOUNDARY]sunmo[PET_BOUNDARY] iyawo re, iyawo ode ni gba ki oko sunmo oun",sunmo,1,sometimes_euph
1193,1193,"Iyawo pe oko lejo, o ni ko ba oun ni [PET_BOUNDARY]ajosepo[PET_BOUNDARY] o gege bi tokotaya fun odun meewa bayi",ajosepo,1,sometimes_euph
1523,1523,"Ni won ba nkorin bayi pe [PET_BOUNDARY]iyá[PET_BOUNDARY] kere e mo hun mi o Iyami Osonronga, / gbogbo ohun ti mba nwi Ogbo lo ni e maa gbo dandan / Iyami Osoronga, / e mo hun mi o / Iyami Osoronga, / igba lo ni ki e maa gba / Iyami Osoronga, / e mo hun mi o / Iyami Osoronga, / oro ti okete ba ba le so / Ni le gbo dandan / Iyami Osoronga, e mo hun mi o / Iyami Osonronga, / gbogbo hun ti mba ti nwi, / ni ko maa se / Iyami Osoronga / e mo ohun mi",iyá,1,sometimes_euph
2520,2520,Ẹni ọdun mẹtalelọgọrin ni Olanrewaju Adepoju jẹ ko to [PET_BOUNDARY]Jáde láyé[PET_BOUNDARY],Jáde láyé,1,always_euph
819,819,"AWỌN AṢIRI TẸ O MỌ NIPA DAN FOSTER, GBAJUMỌ SỌRỌSỌRỌ TO [PET_BOUNDARY]TẸRI-GBAṢỌ[PET_BOUNDARY]",teri gba aso,1,always_euph
1733,1733,Leta si gbogbo awon [PET_BOUNDARY]afofun gbe mu[PET_BOUNDARY] .....😂🤣,afofun gbe mu,1,always_euph
383,383,Se ni [PET_BOUNDARY]kinni[PET_BOUNDARY] okunrin yen naa nigba ti o n wo oyan Bisi nigba ti o n sare,kinni,1,sometimes_euph
454,454,"e ro ra o, [PET_BOUNDARY]alabara meji[PET_BOUNDARY]",A-lá-bára-méjí,1,sometimes_euph
122,122,Gbogbo igba ni [PET_BOUNDARY]kòkòrò[PET_BOUNDARY] abe e ma n dide.,kòkòrò,1,sometimes_euph
628,628,"Ajọ Yoruba Agbaye, iyẹn Yoruba World Centre, ti sun ifilọlẹ eto idije imọ Yoruba to fẹẹ fi lọlẹ laipẹ yii siwaju. Eyi ko ṣẹyin [PET_BOUNDARY]ipapoda[PET_BOUNDARY] Alaafin Ọyọ, Ọba Lamidi Atanda Ọlayiwọla Adeyẹmi (Kẹta), ẹni to waja lọjọ Ẹti, Furaidee, ọjọ kejilelogun, oṣu Kẹrin, ọdun 2022 yii.",pa ipò dá,1,sometimes_euph
1536,1536,Òní [PET_BOUNDARY]iyá[PET_BOUNDARY] Ibadan ń ṣe ọjọ́ ìbí. Iya Ibadan àti tá ni ẹ fẹ́ máa rí pọ̀ nínú eré?,iyá,0,sometimes_euph
796,796,"Alabaaṣiṣẹpọ Biọla yii ṣapejuwe ẹ gẹgẹ bii angẹli, ẹni to mọṣẹ ẹ dunju, eeyan to nifẹẹ Kristi dọkan, ati afunni-ma-wo-ibẹ, o fi kun un pe, o ti tẹnumọ ọn pe oun fẹẹ fopin si gbogbo ẹ ko too waa pada di pe o [PET_BOUNDARY]gbẹmi[PET_BOUNDARY] ara ẹ. “Lorilẹ-ede Naijiria wa yii, a ki i ka ọrọ ilera to jẹ mọ ọpọlọ si, ọpọlọpọ eeyan lo gbe ẹwu ẹdun ọkan, ibanujẹ ati ironu wọ, bẹẹ, ko pọn dandan ko jẹ pe kinni kan lo ṣokunfa rẹ”.",gbe emi mi,1,always_euph
2459,2459,"[PET_BOUNDARY]Arákùnrin[PET_BOUNDARY] òmùwẹ̀ kó s'ọ́wọ́ ẹja Sháàki, ikú ló padà já sí",Arákùnrin,0,sometimes_euph
1902,1902,"Ki okunrin ati obinrin sora fun ale yiyan titidi amodun, akonibo sowo [PET_BOUNDARY]ayé[PET_BOUNDARY] e o",ayé,1,sometimes_euph
2540,2540,Ọ̀pọ̀lọpọ̀ ìnira ní Mohbad là kọjá kò [PET_BOUNDARY]Jáde láyé[PET_BOUNDARY] áyé - Ìyàwó,Jáde láyé,1,always_euph
2270,2270,Awọn ọrọ ibanikẹdun miran tun wa lati ọdọ awọn orilẹede to ni [PET_BOUNDARY]Ajosepo[PET_BOUNDARY] to rinlẹ pẹlu Arẹmọ Phillip ati idile rẹ.,Ajosepo,0,sometimes_euph
1656,1656,"Wọn bi i pe ki lo fa ibinu ọran, o ni ko sohun meji ju pe gbogbo igba ti ọrọ bii ole, bii [PET_BOUNDARY]afọwọra[PET_BOUNDARY] ba ti waye ninu ile naa, oloogbe yii ki i naka ifura sẹni meji ju oun lọ, o loun ki i si i jale, o kan n ya oun lẹnu bo ṣe jẹ p’oun lo maa n dunrun mọ, to maa n fẹsun ole kan, eyi lo bi oun ninu toun fi pinnu pe patapata la a fọju, kuna kuna la a dẹte, oun aa gbẹmi Oluwatobi danu ni.",alafowora,1,always_euph
1942,1942,"Mo gbiyanju lati din [PET_BOUNDARY]akara[PET_BOUNDARY] loni, se lo [PET_BOUNDARY]tu sepo[PET_BOUNDARY]",Àkàrà tu sépo,0,sometimes_euph
2223,2223,"Ara mi tutu, talo fe ba mi ni [PET_BOUNDARY]Ibasepo[PET_BOUNDARY] o",Ibasepo,1,sometimes_euph
2456,2456,E gbo ohun ti [PET_BOUNDARY]Arákùnrin[PET_BOUNDARY] yi so lori oro mohbad,Arákùnrin,0,sometimes_euph
587,587,[PET_BOUNDARY]irin ajo[PET_BOUNDARY] Sorun Ko Rorun,rin ìrìn àjò,0,sometimes_euph
1706,1706,"Mo gboṣuba fun yin, mo si ranti awọn akọni to padanu ẹmi wọn loju ija yii, mo ba awọn mọlẹbi wọn kẹdun gidi, mo si ṣadura fun ẹmi awọn to ti lọ, mo fẹẹ fi da yin loju pe iṣakoso mi ko ni i kẹrẹ lati fun gbogbo awọn mọlẹbi awọn oloogbe wọnyi ni itọju ati atilẹyin to yẹ, ki awọn aya wọn to di opo ati awọn ọmọ wọn t [PET_BOUNDARY]ọmọ òrukàn[PET_BOUNDARY] rukan le mọ pe orileede yii mọyi ẹmi ẹni wọn to ku.",ọmọ òrukàn,1,always_euph
2058,2058,Jẹ ki [PET_BOUNDARY]Oju abe[PET_BOUNDARY] rẹ sinmi lẹyin ibimọ;,Oju abe,1,sometimes_euph
704,704,maa [PET_BOUNDARY]sun nínú olúwa[PET_BOUNDARY],sun nínú olúwa,1,always_euph
1533,1533,Mo nife [PET_BOUNDARY]iyá[PET_BOUNDARY] mi,iyá,0,sometimes_euph
1438,1438,"[PET_BOUNDARY]alare[PET_BOUNDARY] RE ni iwọ, Oluwa, nigbati mo mba ọ wijọ: sibẹ, jẹ ki emi ba ọ sọ ti ọ̀ran idajọ: ẽtiṣe ti ãsiki mbẹ ni ọ̀na enia buburu, ti gbogbo awọn ti nṣe ẹ̀tan jẹ alailewu. 2 Iwọ ti gbìn wọn, nwọn si ti ta gbòngbo: nwọn dagba, nwọn si nso eso: iwọ sunmọ ẹnu wọn, o si jìna si ọkàn wọn. 3 Ṣugbọn iwọ, Oluwa, mọ̀ mi: iwọ ri mi, o si dan ọkàn mi wò bi o ti ri si ọ",alare,1,always_euph
1811,1811,Se seyi oti [PET_BOUNDARY]Ru igi oyin[PET_BOUNDARY] bayii Brother-Asimiyu Abiodun Muideen,Ru igi oyin,1,always_euph
843,843,Aimoye Eda lowa laye bii [PET_BOUNDARY]alaisi[PET_BOUNDARY] nitoripe komo ounti oje Eewo irawo ree.,se alaisi,0,sometimes_euph
115,115,Canada ṣetán láti gbẹ́sẹ̀ lé àkáùntì àwọn tó ń ṣẹ ìwọ́de tá [PET_BOUNDARY]Abẹ́rẹ́[PET_BOUNDARY] ẹ́rẹ́ covid-19,Abẹ́rẹ́,0,sometimes_euph
411,411,"Obinrin kan Fe wonu motor,owa fe subu,loba sare gbami mu,eje mope Abe loti sesi gbami mu,mowa fa ibeji [PET_BOUNDARY]aya[PET_BOUNDARY] re,loba si fo eti mi",àyà or igbaya,1,sometimes_euph
1125,1125,Bi o se se alaye ninu akosile na ni atiri ogbon ko titi [PET_BOUNDARY]do[PET_BOUNDARY] niyi.,do,0,sometimes_euph
1385,1385,"ṢÓ O MỌ̀ PÉ lọ́pọ̀ ìgbà, tẹ́nì kan bá fi àwọn fọ́tò ìhòòhò ẹlòmíì ránṣẹ́ sáwọn èèyàn lórí fóònù, wọ́n lè fẹ̀sùn kàn án pé ó bọ́mọdé ṣèṣekúṣe àbí pé ó ń pín àwòrán ìhòòhò ọmọdé, èyí tó ta ko òfin? Kódà, ọwọ́ òfin ti tẹ àwọn ọ̀dọ́ kan tó fi ohun tó ń [PET_BOUNDARY]ìṣekúṣe[PET_BOUNDARY] ẹni fà sí ìṣekúṣe ránṣẹ́ lórí fóònù.",ìṣekúṣe,1,sometimes_euph
1358,1358,E ti bere ere [PET_BOUNDARY]iranu[PET_BOUNDARY] ti e ma n se,iranu,0,sometimes_euph
615,615,"Ọbabìnrin Elizabeth II, tó jẹ́ ọba tó pẹ́ lórí oyè jù ní Ilẹ̀ Gẹ̀ẹ́ [PET_BOUNDARY]pa ipò dá[PET_BOUNDARY] ipò dà, ní ẹni ọdún mẹ́rìndínlọ́gọ́rù-ún (96), lẹ́yìn ìgbà tó lo àádọ́rin (70) ọdún lórí oyè.",pa ipò dá,1,sometimes_euph
344,344,[PET_BOUNDARY]abẹ[PET_BOUNDARY] Portugal ni Mozambique wa tele.,abẹ,0,sometimes_euph
